anual;mes;Territorio;Medida;Valor
2012;Febrero;Jaen;Indice de precios hoteleros;93,3
2012;Febrero;Malaga;Indice de precios hoteleros;93,0
2012;Febrero;Sevilla;Indice de precios hoteleros;88,1
2012;Marzo;Almeria;Indice de precios hoteleros;91,6
2012;Marzo;Cadiz;Indice de precios hoteleros;76,4
2012;Marzo;Cordoba;Indice de precios hoteleros;81,6
2012;Marzo;Granada;Indice de precios hoteleros;83,9
2012;Marzo;Huelva;Indice de precios hoteleros;78,4
2012;Marzo;Jaen;Indice de precios hoteleros;87,0
2012;Marzo;Malaga;Indice de precios hoteleros;86,1
2012;Marzo;Sevilla;Indice de precios hoteleros;80,0
2012;Abril;Almeria;Indice de precios hoteleros;97,4
2012;Abril;Cadiz;Indice de precios hoteleros;86,1
2012;Abril;Cordoba;Indice de precios hoteleros;89,1
2012;Abril;Granada;Indice de precios hoteleros;92,0
2012;Abril;Huelva;Indice de precios hoteleros;83,2
2012;Abril;Jaen;Indice de precios hoteleros;90,7
2012;Abril;Malaga;Indice de precios hoteleros;92,7
2012;Abril;Sevilla;Indice de precios hoteleros;90,6
2012;Mayo;Almeria;Indice de precios hoteleros;94,0
2012;Mayo;Cadiz;Indice de precios hoteleros;85,4
2012;Mayo;Cordoba;Indice de precios hoteleros;93,1
2012;Mayo;Granada;Indice de precios hoteleros;90,7
2012;Mayo;Huelva;Indice de precios hoteleros;85,0
2012;Mayo;Jaen;Indice de precios hoteleros;90,9
2012;Mayo;Malaga;Indice de precios hoteleros;92,4
2012;Mayo;Sevilla;Indice de precios hoteleros;85,3
2012;Junio;Almeria;Indice de precios hoteleros;94,1
2012;Junio;Cadiz;Indice de precios hoteleros;84,4
2012;Junio;Cordoba;Indice de precios hoteleros;85,6
2012;Junio;Granada;Indice de precios hoteleros;87,8
2012;Junio;Huelva;Indice de precios hoteleros;85,6
2012;Junio;Jaen;Indice de precios hoteleros;91,9
2012;Junio;Malaga;Indice de precios hoteleros;96,4
2012;Junio;Sevilla;Indice de precios hoteleros;83,4
2012;Julio;Almeria;Indice de precios hoteleros;96,1
2012;Julio;Cadiz;Indice de precios hoteleros;87,5
2012;Julio;Cordoba;Indice de precios hoteleros;91,6
2012;Julio;Granada;Indice de precios hoteleros;89,6
2012;Julio;Huelva;Indice de precios hoteleros;89,7
2012;Julio;Jaen;Indice de precios hoteleros;90,5
2012;Julio;Malaga;Indice de precios hoteleros;93,1
2012;Julio;Sevilla;Indice de precios hoteleros;87,1
2012;Agosto;Almeria;Indice de precios hoteleros;91,5
2012;Agosto;Cadiz;Indice de precios hoteleros;87,4
2012;Agosto;Cordoba;Indice de precios hoteleros;83,4
2012;Agosto;Granada;Indice de precios hoteleros;90,9
2012;Agosto;Huelva;Indice de precios hoteleros;89,2
2012;Agosto;Jaen;Indice de precios hoteleros;94,7
2012;Agosto;Malaga;Indice de precios hoteleros;95,1
2012;Agosto;Sevilla;Indice de precios hoteleros;87,3
2012;Septiembre;Almeria;Indice de precios hoteleros;83,2
2012;Septiembre;Cadiz;Indice de precios hoteleros;82,1
2012;Septiembre;Cordoba;Indice de precios hoteleros;81,2
2012;Septiembre;Granada;Indice de precios hoteleros;89,5
2012;Septiembre;Huelva;Indice de precios hoteleros;92,5
2012;Septiembre;Jaen;Indice de precios hoteleros;90,4
2012;Septiembre;Malaga;Indice de precios hoteleros;90,4
2012;Septiembre;Sevilla;Indice de precios hoteleros;87,3
2012;Octubre;Almeria;Indice de precios hoteleros;88,3
2012;Octubre;Cadiz;Indice de precios hoteleros;81,0
2012;Octubre;Cordoba;Indice de precios hoteleros;91,2
2012;Octubre;Granada;Indice de precios hoteleros;87,3
2012;Octubre;Huelva;Indice de precios hoteleros;95,9
2012;Octubre;Jaen;Indice de precios hoteleros;92,5
2012;Octubre;Malaga;Indice de precios hoteleros;90,6
2012;Octubre;Sevilla;Indice de precios hoteleros;86,6
2012;Noviembre;Almeria;Indice de precios hoteleros;98,6
2012;Noviembre;Cadiz;Indice de precios hoteleros;84,6
2012;Noviembre;Cordoba;Indice de precios hoteleros;86,9
2012;Noviembre;Granada;Indice de precios hoteleros;85,5
2012;Noviembre;Huelva;Indice de precios hoteleros;98,1
2012;Noviembre;Jaen;Indice de precios hoteleros;87,8
2012;Noviembre;Malaga;Indice de precios hoteleros;91,2
2012;Noviembre;Sevilla;Indice de precios hoteleros;88,6
2012;Diciembre;Almeria;Indice de precios hoteleros;95,2
2012;Diciembre;Cadiz;Indice de precios hoteleros;86,0
2012;Diciembre;Cordoba;Indice de precios hoteleros;89,9
2012;Diciembre;Granada;Indice de precios hoteleros;89,9
2012;Diciembre;Huelva;Indice de precios hoteleros;88,8
2012;Diciembre;Jaen;Indice de precios hoteleros;83,3
2012;Diciembre;Malaga;Indice de precios hoteleros;96,1
2012;Diciembre;Sevilla;Indice de precios hoteleros;87,9
2013;Enero;Almeria;Indice de precios hoteleros;95,5
2013;Enero;Cadiz;Indice de precios hoteleros;81,6
2013;Enero;Cordoba;Indice de precios hoteleros;84,2
2013;Enero;Granada;Indice de precios hoteleros;83,3
2013;Enero;Huelva;Indice de precios hoteleros;97,7
2013;Enero;Jaen;Indice de precios hoteleros;87,4
2013;Enero;Malaga;Indice de precios hoteleros;96,1
2013;Enero;Sevilla;Indice de precios hoteleros;82,6
2013;Febrero;Almeria;Indice de precios hoteleros;95,8
2013;Febrero;Cadiz;Indice de precios hoteleros;80,6
2013;Febrero;Cordoba;Indice de precios hoteleros;82,8
2013;Febrero;Granada;Indice de precios hoteleros;83,0
2013;Febrero;Huelva;Indice de precios hoteleros;109,9
2013;Febrero;Jaen;Indice de precios hoteleros;88,5
2013;Febrero;Malaga;Indice de precios hoteleros;94,6
2013;Febrero;Sevilla;Indice de precios hoteleros;82,0
2013;Marzo;Almeria;Indice de precios hoteleros;86,8
2013;Marzo;Cadiz;Indice de precios hoteleros;74,3
2013;Marzo;Cordoba;Indice de precios hoteleros;84,5
2013;Marzo;Granada;Indice de precios hoteleros;84,6
2013;Marzo;Huelva;Indice de precios hoteleros;87,1
2013;Marzo;Jaen;Indice de precios hoteleros;84,9
2013;Marzo;Malaga;Indice de precios hoteleros;90,6
2013;Marzo;Sevilla;Indice de precios hoteleros;78,9
2013;Abril;Almeria;Indice de precios hoteleros;92,3
2013;Abril;Cadiz;Indice de precios hoteleros;78,1
2013;Abril;Cordoba;Indice de precios hoteleros;82,5
2013;Abril;Granada;Indice de precios hoteleros;85,3
2013;Abril;Huelva;Indice de precios hoteleros;83,1
2013;Abril;Jaen;Indice de precios hoteleros;82,1
2013;Abril;Malaga;Indice de precios hoteleros;90,3
2013;Abril;Sevilla;Indice de precios hoteleros;80,2
2013;Mayo;Almeria;Indice de precios hoteleros;91,9
2013;Mayo;Cadiz;Indice de precios hoteleros;82,8
2013;Mayo;Cordoba;Indice de precios hoteleros;94,0
2013;Mayo;Granada;Indice de precios hoteleros;86,5
2013;Mayo;Huelva;Indice de precios hoteleros;79,0
2013;Mayo;Jaen;Indice de precios hoteleros;84,0
2013;Mayo;Malaga;Indice de precios hoteleros;91,6
2013;Mayo;Sevilla;Indice de precios hoteleros;80,0
2013;Junio;Almeria;Indice de precios hoteleros;90,5
2013;Junio;Cadiz;Indice de precios hoteleros;81,7
2013;Junio;Cordoba;Indice de precios hoteleros;84,5
2013;Junio;Granada;Indice de precios hoteleros;82,6
2013;Junio;Huelva;Indice de precios hoteleros;82,3
2013;Junio;Jaen;Indice de precios hoteleros;85,2
2013;Junio;Malaga;Indice de precios hoteleros;93,4
2013;Junio;Sevilla;Indice de precios hoteleros;79,9
2013;Julio;Almeria;Indice de precios hoteleros;100,5
2013;Julio;Cadiz;Indice de precios hoteleros;83,7
2013;Julio;Cordoba;Indice de precios hoteleros;87,2
2013;Julio;Granada;Indice de precios hoteleros;84,6
2013;Julio;Huelva;Indice de precios hoteleros;79,5
2013;Julio;Jaen;Indice de precios hoteleros;85,1
2013;Julio;Malaga;Indice de precios hoteleros;92,2
2013;Julio;Sevilla;Indice de precios hoteleros;82,1
2013;Agosto;Almeria;Indice de precios hoteleros;92,1
2013;Agosto;Cadiz;Indice de precios hoteleros;85,1
2013;Agosto;Cordoba;Indice de precios hoteleros;79,1
2013;Agosto;Granada;Indice de precios hoteleros;86,8
2013;Agosto;Huelva;Indice de precios hoteleros;80,3
2013;Agosto;Jaen;Indice de precios hoteleros;89,4
