descripcion;establecimiento;categoria;medida;territorio;cantidad
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Granada;16
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Huelva;7
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Jaen;3
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Malaga;15
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Sevilla;5
Campamentos de turismo;Campamento de turismo;3 Estrellas;Plazas;Almeria;6524
Campamentos de turismo;Campamento de turismo;3 Estrellas;Plazas;Cadiz;13498
Campamentos de turismo;Campamento de turismo;3 Estrellas;Plazas;Cordoba;4064
Campamentos de turismo;Campamento de turismo;3 Estrellas;Plazas;Granada;5068
Campamentos de turismo;Campamento de turismo;3 Estrellas;Plazas;Huelva;8078
Campamentos de turismo;Campamento de turismo;3 Estrellas;Plazas;Jaen;512
Campamentos de turismo;Campamento de turismo;3 Estrellas;Plazas;Malaga;8159
Campamentos de turismo;Campamento de turismo;3 Estrellas;Plazas;Sevilla;2446
Campamentos de turismo;Campamento de turismo;4 Estrellas;Establecimientos;Almeria;1
Campamentos de turismo;Campamento de turismo;4 Estrellas;Establecimientos;Cadiz;6
Campamentos de turismo;Campamento de turismo;4 Estrellas;Establecimientos;Cordoba;0
Campamentos de turismo;Campamento de turismo;4 Estrellas;Establecimientos;Granada;4
Campamentos de turismo;Campamento de turismo;4 Estrellas;Establecimientos;Huelva;4
Campamentos de turismo;Campamento de turismo;4 Estrellas;Establecimientos;Jaen;1
Campamentos de turismo;Campamento de turismo;4 Estrellas;Establecimientos;Malaga;7
Campamentos de turismo;Campamento de turismo;4 Estrellas;Establecimientos;Sevilla;0
Campamentos de turismo;Campamento de turismo;4 Estrellas;Plazas;Almeria;1016
Campamentos de turismo;Campamento de turismo;4 Estrellas;Plazas;Cadiz;6550
Campamentos de turismo;Campamento de turismo;4 Estrellas;Plazas;Cordoba;0
Campamentos de turismo;Campamento de turismo;4 Estrellas;Plazas;Granada;2099
Campamentos de turismo;Campamento de turismo;4 Estrellas;Plazas;Huelva;8154
Campamentos de turismo;Campamento de turismo;4 Estrellas;Plazas;Jaen;336
Campamentos de turismo;Campamento de turismo;4 Estrellas;Plazas;Malaga;4470
Campamentos de turismo;Campamento de turismo;4 Estrellas;Plazas;Sevilla;0
Campamentos de turismo;area de pernocta de autocaravanas;unica;Establecimientos;Almeria;10
Campamentos de turismo;area de pernocta de autocaravanas;unica;Establecimientos;Cadiz;2
Campamentos de turismo;area de pernocta de autocaravanas;unica;Establecimientos;Cordoba;0
Campamentos de turismo;area de pernocta de autocaravanas;unica;Establecimientos;Granada;5
Campamentos de turismo;area de pernocta de autocaravanas;unica;Establecimientos;Huelva;2
